                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0875,                 1.2963,                 1.2231,                0.66319,                0.16667,                0.17951,                0.13484,                 1.0492,                 3.5789,                 1.3108,              0.0013039,              0.0013039,              0.0013039
                     36,                0.87279,                 1.1839,                 1.1241,                0.64743,                0.16667,                0.19003,                0.10544,                 1.7356,                 5.5204,                 1.6554,              0.0012929,              0.0012929,              0.0012929
                     37,                0.88271,                 1.0556,                 1.0827,                0.64743,                0.16667,                0.19003,                0.10544,                 1.7356,                 5.5204,                 1.6554,              0.0012819,              0.0012819,              0.0012819
                     38,                0.98662,                   1.14,                 1.1405,                0.64743,                0.16667,                0.19003,                0.10544,                 1.7356,                 5.5204,                 1.6554,              0.0012709,              0.0012709,              0.0012709
                     39,                0.83305,                 1.1086,                 1.1092,                0.69055,                0.08333,                0.09551,                0.08549,                 1.8606,                  5.959,                 1.8712,              0.0012599,              0.0012599,              0.0012599
                     40,                 1.0306,                 1.2786,                 1.2151,                0.69055,                0.08333,                0.09551,                0.08549,                 1.8606,                  5.959,                 1.8712,              0.0012489,              0.0012489,              0.0012489
                     41,                 1.0618,                  1.246,                 1.3139,                0.87414,                0.24828,                0.24264,                0.16109,                 1.5883,                 3.4602,                  1.631,              0.0012379,              0.0012379,              0.0012379
                     42,                0.97065,                 1.2963,                 1.2609,                0.87414,                0.24828,                0.24264,                0.16109,                 1.5883,                 3.4602,                  1.631,              0.0012269,              0.0012269,              0.0012269
                     43,                0.81602,                 1.0777,                 1.1166,                0.87414,                0.24828,                0.24264,                0.16109,                 1.5883,                 3.4602,                  1.631,              0.0012159,              0.0012159,              0.0012159
                     44,                0.82021,                 1.1184,                  1.089,                0.89578,                0.31927,                0.29143,                0.22046,                 1.6443,                 2.7138,                 1.6078,              0.0012049,              0.0012049,              0.0012049
                     45,                0.80489,                0.88339,                 1.0596,                0.89578,                0.31927,                0.29143,                0.22046,                 1.6443,                 2.7138,                 1.6078,              0.0011939,              0.0011939,              0.0011939
                     46,                0.90634,                 1.1101,                 1.1171,                0.89578,                0.31927,                0.29143,                0.22046,                 1.6443,                 2.7138,                 1.6078,              0.0011829,              0.0011829,              0.0011829
                     47,                  1.037,                 1.1335,                 1.2922,                0.75656,                   0.25,                0.24146,                0.15271,                 1.4562,                 2.9891,                 1.5023,              0.0011719,              0.0011719,              0.0011719
                     48,                0.86032,                 0.9168,                 1.1168,                0.75656,                   0.25,                0.24146,                0.15271,                 1.4562,                 2.9891,                 1.5023,              0.0011609,              0.0011609,              0.0011609
                     49,                0.87847,                0.93459,                 1.1183,                0.29159,                0.83333,                0.47481,                0.23606,                0.99406,                 2.4335,                 1.1905,              0.0011499,              0.0011499,              0.0011499
                     50,                 0.8397,                0.95204,                 1.1911,                0.29159,                0.83333,                0.47481,                0.23606,                0.99406,                 2.4335,                 1.1905,              0.0011389,              0.0011389,              0.0011389
                     51,                0.96015,                 1.0405,                 1.2393,                0.29159,                0.83333,                0.47481,                0.23606,                0.99406,                 2.4335,                 1.1905,              0.0011279,              0.0011279,              0.0011279
                     52,                0.83728,                 0.8916,                 1.1423,                0.11005,                   0.75,                0.12026,                0.08721,                 1.4082,                 4.2134,                 1.4731,              0.0011169,              0.0011169,              0.0011169
                     53,                0.89378,                 1.2216,                 1.1529,                0.11005,                   0.75,                0.12026,                0.08721,                 1.4082,                 4.2134,                 1.4731,              0.0011059,              0.0011059,              0.0011059
                     54,                0.85375,                0.98546,                 1.1516,                0.11005,                   0.75,                0.12026,                0.08721,                 1.4082,                 4.2134,                 1.4731,              0.0010949,              0.0010949,              0.0010949
                     55,                0.91177,                 1.0617,                 1.1771,                0.20516,                0.58333,                0.19243,                0.11793,                 1.5085,                 7.5579,                 1.8261,              0.0010839,              0.0010839,              0.0010839
                     56,                0.91285,                 1.2843,                 1.2638,                0.20516,                0.58333,                0.19243,                0.11793,                 1.5085,                 7.5579,                 1.8261,              0.0010729,              0.0010729,              0.0010729
                     57,                 0.9529,                 1.0438,                 1.1639,                0.19267,                0.66667,                0.18772,                0.13948,                 1.2784,                  4.526,                 1.5242,              0.0010619,              0.0010619,              0.0010619
                     58,                0.86448,                 1.0373,                 1.1627,                0.19267,                0.66667,                0.18772,                0.13948,                 1.2784,                  4.526,                 1.5242,              0.0010509,              0.0010509,              0.0010509
                     59,                0.86603,                 1.0529,                 1.0692,                0.19267,                0.66667,                0.18772,                0.13948,                 1.2784,                  4.526,                 1.5242,              0.0010399,              0.0010399,              0.0010399
                     60,                0.83269,                  0.965,                 1.0507,                    0.5,                0.40092,                0.49005,                0.32008,                 1.1205,                  1.834,                 1.4134,              0.0010289,              0.0010289,              0.0010289
