                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90514,                0.88628,                 1.1542,                0.94911,                0.70892,                 0.8663,                0.61641,                0.96009,                0.93721,                 1.2711,              0.0013039,              0.0013039,              0.0013039
                     36,                0.93043,                0.85378,                 1.1756,                0.89386,                0.86429,                0.91826,                0.66196,                0.95733,                0.79734,                 1.2653,              0.0012929,              0.0012929,              0.0012929
                     37,                0.93432,                0.86473,                 1.1776,                0.88946,                0.89286,                 0.9073,                0.64911,                0.93678,                0.79377,                 1.2218,              0.0012819,              0.0012819,              0.0012819
                     38,                0.91014,                0.89712,                 1.1638,                0.88883,                   0.85,                0.92365,                0.65487,                0.92932,                0.73149,                 1.2073,              0.0012709,              0.0012709,              0.0012709
                     39,                0.91324,                0.88567,                 1.1853,                0.79007,                0.72859,                0.78919,                 0.5513,                 1.0491,                 1.2172,                 1.3284,              0.0012599,              0.0012599,              0.0012599
                     40,                 0.8818,                0.90002,                 1.1605,                0.85507,                0.73076,                0.83068,                 0.6045,                 1.0275,                 1.0563,                 1.3217,              0.0012489,              0.0012489,              0.0012489
                     41,                0.92685,                 0.9008,                 1.1925,                0.90117,                0.85714,                0.91165,                0.64211,                0.95878,                0.83058,                 1.2349,              0.0012379,              0.0012379,              0.0012379
                     42,                0.90426,                0.87164,                 1.1737,                0.85118,                0.75519,                0.84471,                0.60063,                0.95332,                0.88312,                 1.2316,              0.0012269,              0.0012269,              0.0012269
                     43,                0.90002,                0.87591,                 1.1478,                0.80833,                0.63633,                0.69537,                0.51637,                0.96193,                 1.2397,                 1.2529,              0.0012159,              0.0012159,              0.0012159
                     44,                0.85321,                0.84591,                 1.1252,                 0.8965,                 0.8179,                0.88365,                0.63229,                 0.9223,                0.82659,                 1.1875,              0.0012049,              0.0012049,              0.0012049
                     45,                0.87999,                0.79071,                 1.1546,                0.81863,                0.85714,                0.87393,                0.63374,                0.93067,                0.83765,                 1.2038,              0.0011939,              0.0011939,              0.0011939
                     46,                 0.8919,                0.82949,                 1.1644,                0.78926,                0.89288,                0.90569,                0.65598,                0.92641,                0.83001,                 1.2025,              0.0011829,              0.0011829,              0.0011829
                     47,                 0.8285,                0.79839,                 1.1361,                0.82037,                0.79182,                0.88519,                0.67055,                0.90817,                0.83102,                 1.2082,              0.0011719,              0.0011719,              0.0011719
                     48,                0.85591,                0.78165,                 1.1236,                0.91597,                0.72713,                0.88289,                0.64004,                0.91994,                0.84506,                 1.1968,              0.0011609,              0.0011609,              0.0011609
                     49,                0.89005,                0.84434,                 1.1472,                0.75711,                0.84835,                0.84792,                 0.6113,                0.92814,                0.82733,                 1.1942,              0.0011499,              0.0011499,              0.0011499
                     50,                0.83417,                0.78855,                 1.1292,                0.83138,                0.84524,                0.86487,                0.61759,                0.90105,                0.76705,                  1.164,              0.0011389,              0.0011389,              0.0011389
                     51,                 0.8726,                0.76516,                 1.1311,                0.82161,                0.88333,                0.90239,                0.65216,                0.88029,                0.67607,                  1.194,              0.0011279,              0.0011279,              0.0011279
                     52,                0.89358,                0.82756,                 1.1514,                0.90249,                0.84123,                0.90748,                0.63753,                 0.8957,                0.74904,                 1.1888,              0.0011169,              0.0011169,              0.0011169
                     53,                0.83975,                0.74593,                 1.1127,                0.79681,                0.87143,                0.89412,                0.65739,                 0.9041,                0.77702,                 1.1804,              0.0011059,              0.0011059,              0.0011059
                     54,                 0.8479,                0.75374,                 1.1481,                0.88103,                0.81905,                0.90411,                0.66014,                0.90664,                0.72979,                 1.1959,              0.0010949,              0.0010949,              0.0010949
                     55,                0.90146,                0.79659,                  1.115,                0.91038,                0.85573,                0.90903,                0.65023,                 0.9427,                0.68583,                 1.2109,              0.0010839,              0.0010839,              0.0010839
                     56,                0.84541,                0.75875,                 1.1253,                0.94958,                0.79011,                 0.9067,                0.65505,                0.93013,                0.72735,                 1.1895,              0.0010729,              0.0010729,              0.0010729
                     57,                0.84951,                0.73429,                  1.109,                0.89978,                0.77619,                0.88502,                0.65534,                0.88767,                0.72729,                 1.1918,              0.0010619,              0.0010619,              0.0010619
                     58,                0.82652,                0.75256,                 1.1128,                0.81785,                0.79726,                0.86768,                0.63335,                0.87704,                0.73692,                 1.1986,              0.0010509,              0.0010509,              0.0010509
                     59,                0.84234,                 0.7342,                 1.1061,                0.76065,                0.81429,                 0.8343,                 0.5878,                0.90845,                0.85058,                  1.254,              0.0010399,              0.0010399,              0.0010399
                     60,                0.84708,                0.70068,                 1.1252,                0.91278,                0.74338,                0.85583,                0.63118,                0.90754,                0.73745,                 1.2178,              0.0010289,              0.0010289,              0.0010289
                     61,                0.77749,                 0.6888,                 1.0898,                0.87878,                0.80135,                0.87648,                 0.6407,                0.91629,                0.76625,                 1.1964,              0.0010179,              0.0010179,              0.0010179
                     62,                0.79589,                0.66028,                 1.0866,                0.91246,                0.80714,                0.88787,                0.65717,                0.90802,                0.73617,                 1.2017,              0.0010069,              0.0010069,              0.0010069
